"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Wind"
"9/18/1979","-46.5625","-23.573299407959","666","13.904","12.15","2.71743438292271",
"9/19/1979","-46.5625","-23.573299407959","666","12.244","9.40600000000001","3.43631559841128",
"9/20/1979","-46.5625","-23.573299407959","666","11.72","9.68599999999998","3.02308851001936",
"9/21/1979","-46.5625","-23.573299407959","666","23.044","11.347","1.76439184188639",
"9/22/1979","-46.5625","-23.573299407959","666","25.841","13.801","1.6777653397728",
"9/23/1979","-46.5625","-23.573299407959","666","26.595","16.392","3.95817295757481",
"9/24/1979","-46.5625","-23.573299407959","666","28.735","15.772","2.3297677139369",
"9/25/1979","-46.5625","-23.573299407959","666","31.392","15.945","1.80783979631953",
"9/26/1979","-46.5625","-23.573299407959","666","28.828","17.061","2.05534744478474",
"9/27/1979","-46.5625","-23.573299407959","666","33.522","17.559","1.75248620439454",
"9/28/1979","-46.5625","-23.573299407959","666","33.277","17.626","1.54273646494121",
"9/29/1979","-46.5625","-23.573299407959","666","32.005","20.169","2.04917318525116",
"9/30/1979","-46.5625","-23.573299407959","666","34.828","18.289","1.72390465149197",
"10/1/1979","-46.5625","-23.573299407959","666","31.29","16.284","1.5279345627826",
"10/2/1979","-46.5625","-23.573299407959","666","26.627","15.449","2.39427500590916",
"10/3/1979","-46.5625","-23.573299407959","666","25.339","15.74","2.93877991856999",
"10/4/1979","-46.5625","-23.573299407959","666","28.162","16.005","2.20264566053832",
"10/5/1979","-46.5625","-23.573299407959","666","33.374","15.953","1.6171058050753",
"10/6/1979","-46.5625","-23.573299407959","666","35.221","18.158","2.20971909827477",
"10/7/1979","-46.5625","-23.573299407959","666","33.261","18.662","1.87783219405127",
"10/8/1979","-46.5625","-23.573299407959","666","27.529","16.721","1.84641684489568",
"10/9/1979","-46.5625","-23.573299407959","666","21.034","13.869","3.03044276426636",
"10/10/1979","-46.5625","-23.573299407959","666","23.395","13.283","3.00693802602883",
"10/11/1979","-46.5625","-23.573299407959","666","18.376","15.944","2.94055107074599",
"10/12/1979","-46.5625","-23.573299407959","666","22.975","16.068","2.66966515340699",
"10/13/1979","-46.5625","-23.573299407959","666","18.837","16.869","2.46358809509788",
"10/14/1979","-46.5625","-23.573299407959","666","27.701","16.019","3.81206992348539",
"10/15/1979","-46.5625","-23.573299407959","666","25.499","15.506","2.61401588009671",
"10/16/1979","-46.5625","-23.573299407959","666","24.578","13.134","2.54206950100129",
"10/17/1979","-46.5625","-23.573299407959","666","22.152","11.146","2.78642642126318",
"10/18/1979","-46.5625","-23.573299407959","666","24.3","8.48000000000002","2.29077198313493",
"10/19/1979","-46.5625","-23.573299407959","666","20.665","10.648","3.78513683253846",
"10/20/1979","-46.5625","-23.573299407959","666","20.871","14.073","3.82627669738315",
"10/21/1979","-46.5625","-23.573299407959","666","27.606","14.126","2.7981736871692",
"10/22/1979","-46.5625","-23.573299407959","666","31.545","15.213","2.06117308355864",
"10/23/1979","-46.5625","-23.573299407959","666","31.613","18.247","3.30098649072881",
"10/24/1979","-46.5625","-23.573299407959","666","34.625","17.549","1.69152091419607",
